instance family
si4_b03m_m200.03 4 10
si4_b03m_m200.09 4 10
si4_b03m_m200.08 4 14
si4_b03m_m200.01 4 10
si2_b06m_m200.04 4 9
si2_b06m_m200.03 4 8
si2_b06m_m200.08 4 8
si2_b06m_m200.06 4 8
si2_b06m_m200.05 4 8
si2_b06m_m200.02 4 8
si2_b06m_m200.00 4 9
si2_b06m_m200.01 4 9
si2_b06m_m200.09 4 9
si2_b06m_m200.07 4 9
si6_m4Dr4_m625.05 6 375
si6_m4Dr4_m625.09 6 239
si6_m4Dr4_m625.04 6 239
si6_m4Dr4_m625.00 6 250
si6_m4Dr4_m625.08 6 240
si6_m4Dr4_m625.06 6 320
si6_m4Dr4_m625.01 6 274
si6_m4Dr4_m625.03 6 249
si6_m4Dr4_m625.07 6 253
si6_m4Dr4_m625.02 6 237
si4_b03_m200.06 3 12
si4_b03_m200.02 3 12
si4_b03_m200.07 3 12
si4_b03_m200.04 3 12
si4_b03_m200.03 3 11
si4_b03_m200.05 3 11
si4_b03_m200.09 3 12
si4_b03_m200.01 3 17
si4_b03_m200.00 3 12
si4_b03_m200.08 3 11
si2_b03_m400.03 3 57
si2_b03_m400.06 3 38
si2_b03_m400.07 3 57
si2_b03_m400.01 3 38
si2_b03_m400.05 3 38
si2_b03_m400.09 3 38
si2_b03_m400.02 3 56
si2_b03_m400.00 3 44
si2_b03_m400.08 3 38
si2_b03_m400.04 3 57
si4_b09_m200.02 3 14
si4_b09_m200.01 3 14
si4_b09_m200.00 3 14
si4_b09_m200.09 3 14
si4_b09_m200.08 3 20
si4_b09_m200.04 3 14
si4_b09_m200.06 3 14
